dateRep	day	month	year	cases	deaths	countriesAndTerritories	geoId	countryterritoryCode	popData2019	continentExp	Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
25.11.2020	25	11	2020	185	13	Afghanistan	AF	AFG	38041757	Asia	7,1999829
25.11.2020	25	11	2020	185	13	Poland	AF	AFG	38041757	Asia	7,1999829
24.11.2020	24	11	2020	246	17	Afghanistan	AF	AFG	38041757	Asia	6,71367519
23.11.2020	23	11	2020	252	8	Afghanistan	AF	AFG	38041757	Asia	6,655844
22.11.2020	22	11	2020	154	12	Afghanistan	AF	AFG	38041757	Asia	6,20370926
21.11.2020	21	11	2020	232	25	Afghanistan	AF	AFG	38041757	Asia	6,13010593
20.11.2020	20	11	2020	282	5	Afghanistan	AF	AFG	38041757	Asia	5,6727138
19.11.2020	19	11	2020	0	0	Afghanistan	AF	AFG	38041757	Asia	5,03657073
18.11.2020	18	11	2020	383	13	Afghanistan	AF	AFG	38041757	Asia	5,35464227
17.11.2020	17	11	2020	65	6	Afghanistan	AF	AFG	38041757	Asia	4,57392123
16.11.2020	16	11	2020	163	9	Afghanistan	AF	AFG	38041757	Asia	4,65278194
15.11.2020	15	11	2020	205	12	Afghanistan	AF	AFG	38041757	Asia	4,57129254
14.11.2020	14	11	2020	66	10	Afghanistan	AF	AFG	38041757	Asia	4,23219148
13.11.2020	13	11	2020	360	14	Afghanistan	AF	AFG	38041757	Asia	4,47140231
12.11.2020	12	11	2020	146	4	Afghanistan	AF	AFG	38041757	Asia	3,84840269
11.11.2020	11	11	2020	0	0	Afghanistan	AF	AFG	38041757	Asia	3,4646139
10.11.2020	10	11	2020	224	12	Afghanistan	AF	AFG	38041757	Asia	3,76165591
09.11.2020	9	11	2020	80	3	Afghanistan	AF	AFG	38041757	Asia	3,69593865
08.11.2020	8	11	2020	126	6	Afghanistan	AF	AFG	38041757	Asia	3,65650829
07.11.2020	7	11	2020	58	2	Afghanistan	AF	AFG	38041757	Asia	3,53821723
06.11.2020	6	11	2020	40	0	Afghanistan	AF	AFG	38041757	Asia	3,5461033
05.11.2020	5	11	2020	121	6	Afghanistan	AF	AFG	38041757	Asia	3,74588377
